name,DM,center_f,slope (mhz/ms),slope error (mhz/ms),theta,red_chisq,amplitude,xo,yo,sigmax,sigmay,angle,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,f_res (mhz),time_res (s),downf,downt,fchans,tchans,tsamp_width,subbg_start (ms),subbg_end (ms),sksigma,skwindow,regstart_a,regend_a,regstart_b,regend_b,regstart_c,regend_c,regstart_d,regend_d,background,slope_abs,slope_over_nuobs,recip_slope_over_nuobs,slope_abs_nuobssq,min_sigma,max_sigma,min_sigma_error,max_sigma_error,sigma_t,tau_w_old,tau_w,t_from_sigma,tau_w_error,sigma_t_ms,tau_w_ms,tau_w_ms_old,slope_over_nuobs_err
11A,555.0,6568.92191811869,-735.6951214562241,0.067289709295694,-1.56943706892438,20.3630264725373,7.74601521119743,0.061715731639017994,3.2760232261520295,0.44942086350741,976.5341068805141,0.0013592578705150001,0.0014805323303060001,0.00026764561292299995,0.186549580500529,8.56535372180208e-05,0.189162594268365,1.24323176325589e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,735.6951214562241,0.11199632612879709,8.928864316941864,1.7049422648773443e-08,0.44942086350741,976.5341068805141,8.56535372180208e-05,0.189162594268365,1.840348474671942e-05,1.8403501747702102e-05,0.4494212786785813,-0.44942044833653433,3.5074584868771342e-06,0.01840348474671942,0.4494212786785813,0.0184035017477021,4.6224871800902746e-05
11A,556.0,6568.92191811869,-757.240691044359,0.06905414825897,-1.56947574348432,20.8934130189495,7.79193650476645,0.06172215964145599,3.24556624060494,0.4445972844476961,976.8442947954919,0.0013205833105820002,0.0014587434191610002,0.000255226618722,0.18276536029340498,8.29907282589355e-05,0.185332115406749,1.20426240657396e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,757.240691044359,0.1152762508800271,8.674813696367888,1.754873209286703e-08,0.4445972844476961,976.8442947954919,8.29907282589355e-05,0.185332115406749,1.8205962399943507e-05,1.8205978275007337e-05,0.4445976721234539,-0.444596896772196,3.398417958369178e-06,0.018205962399943508,0.4445976721234539,0.018205978275007337,4.805077182103603e-05
11A,557.0,6568.92191811869,-770.067715366637,0.07178277991258,-1.56949774042653,21.3049847292262,7.73794407490345,0.061717073392723,3.18959929708041,0.448341284401789,976.671641502148,0.001298586368362,0.0014436464628039998,0.000250746744009,0.182098186148048,8.34033933402114e-05,0.18465032839822698,1.21049139994206e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,770.067715366637,0.11722893420952414,8.53031725267324,1.784599294538395e-08,0.448341284401789,976.671641502148,8.34033933402114e-05,0.18465032839822698,1.835927670206364e-05,1.8359292181939177e-05,0.44834166242688195,-0.4483409063769351,3.415316234687653e-06,0.01835927670206364,0.44834166242688195,0.01835929218193918,5.043903709827414e-05
11A,557.91,6568.92191811869,-790.2018668330361,0.07460742402956501,-1.56953082805572,21.6024016798568,7.758893212647281,0.061714791390321,3.1714912117502005,0.446957082402329,977.504051527087,0.001265498739175,0.001434567072914,0.00024298539739700002,0.18063040213745496,8.239680522604258e-05,0.18318519392597601,1.1948276029435598e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,790.2018668330361,0.12029399598333883,8.312966842821513,1.8312593372671798e-08,0.446957082402329,977.504051527087,8.239680522604258e-05,0.18318519392597601,1.830259455298709e-05,1.8302609208677965e-05,0.4469574403004847,-0.4469567245043851,3.374096944588333e-06,0.01830259455298709,0.4469574403004847,0.018302609208677965,5.2788456575962974e-05
11A,558.0,6568.92191811869,-790.2018668330361,0.07460742402956501,-1.56953082805572,21.6024016798568,7.758893212647281,0.061714791390321,3.1714912117502005,0.446957082402329,977.504051527087,0.001265498739175,0.001434567072914,0.00024298539739700002,0.18063040213745496,8.239680522604258e-05,0.18318519392597601,1.1948276029435598e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,790.2018668330361,0.12029399598333883,8.312966842821513,1.8312593372671798e-08,0.446957082402329,977.504051527087,8.239680522604258e-05,0.18318519392597601,1.830259455298709e-05,1.8302609208677965e-05,0.4469574403004847,-0.4469567245043851,3.374096944588333e-06,0.01830259455298709,0.4469574403004847,0.018302609208677965,5.2788456575962974e-05
11A,559.0,6568.92191811869,-817.8934426834829,0.07929956560790301,-1.5695736742468798,21.9241963832946,7.757053750414981,0.061713763273569,3.2876836157908302,0.446451855967302,978.109040603815,0.0012226525480210002,0.0014254595212,0.000234365500039,0.179632067576119,8.17967931411374e-05,0.182187600412344,1.1854321634439302e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,817.8934426834829,0.12450953944627248,8.031513122988567,1.8954333907188756e-08,0.446451855967302,978.109040603815,8.17967931411374e-05,0.182187600412344,1.8281905867290356e-05,1.8281919531916915e-05,0.44645218966324884,-0.44645152227153506,3.349526651502267e-06,0.018281905867290355,0.44645218966324884,0.018281919531916914,5.652473701853513e-05
11A,560.0,6568.92191811869,-832.981697702656,0.082366960131808,-1.5695958208025602,22.0511463069523,7.73803362552483,0.061717146039715995,3.27099219923143,0.447475983376389,977.539446957168,0.001200505992332,0.001419801645669,0.00023023973567099998,0.17925326357493698,8.18634167814155e-05,0.18178828139667103,1.18708411570559e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,832.981697702656,0.12680645440541607,7.886033914353248,1.9303997822786253e-08,0.447475983376389,977.539446957168,8.18634167814155e-05,0.18178828139667103,1.8323843201940864e-05,1.8323856406241544e-05,0.44747630583098363,-0.4474756609219591,3.3522547572462953e-06,0.018323843201940863,0.44747630583098363,0.018323856406241543,5.8880911411469494e-05
11A,561.0,6568.92191811869,-855.890681495986,0.08550479723983999,-1.5696279538162101,22.062735819196302,7.777939568404809,0.061707647415955996,3.31936684820588,0.443883069548021,978.4075245790939,0.001168372978685,0.001415858056964,0.000223025138678,0.17799596476034601,8.05631759015009e-05,0.18053581662144397,1.1672215375877099e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,855.890681495986,0.13029393440272605,7.674954360569817,1.9834903813264027e-08,0.443883069548021,978.4075245790939,8.05631759015009e-05,0.18053581662144397,1.8176715775945076e-05,1.8176728182425284e-05,0.44388337251950294,-0.4438827665766834,3.299010596113933e-06,0.018176715775945075,0.44388337251950294,0.018176728182425283,6.114008866623696e-05
11A,562.0,6568.92191811869,-877.594473852411,0.09054631084632801,-1.5696568488275802,22.4623998590105,7.7216744711599805,0.0617094881224,3.51313079252937,0.447835866983385,978.682239067491,0.0011394779673199998,0.0014036655404649997,0.000218254248547,0.177800259112418,8.11681075783999e-05,0.180344484744823,1.17566188024388e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,877.594473852411,0.13359794571949338,7.485145034337824,2.0337880002957205e-08,0.447835866983385,978.682239067491,8.11681075783999e-05,0.180344484744823,1.8338580195724943e-05,1.8338592101227196e-05,0.447836157720774,-0.4478355762461239,3.3237820510790625e-06,0.018338580195724943,0.447836157720774,0.018338592101227194,6.53288085605407e-05
11A,563.0,6568.92191811869,-901.8799755777361,0.09431920899930099,-1.56968753225763,22.7728370682915,7.74678315111771,0.061701448498428,3.71658661147959,0.44591198280607297,978.521347328272,0.001108794537268,0.0013947297472719999,0.00021099400373700001,0.176065927747371,8.004499247853491e-05,0.178581204126775,1.1595837673942899e-07,2.9296875,4.09493333333333e-05,2.0,4.0,845,140,70,,,,,0.0,2.7939999103546103,2.7939999103546103,3.3840000629425,3.3840000629425,4.09899997711182,4.09899997711182,5.73290681838989,1.9769999980926498,901.8799755777361,0.13729497576917926,7.2835877234226185,2.0900686213134337e-08,0.44591198280607297,978.521347328272,8.004499247853491e-05,0.178581204126775,1.8259798421253468e-05,1.82598096457862e-05,0.4459122569138988,-0.44591170869835867,3.2777910935667527e-06,0.018259798421253467,0.4459122569138988,0.018259809645786197,6.851956856540477e-05
